"","player","salary_rank","salary","roster_number","position","height","weight","birthday","country","experience","college","stat_rank","age","games","games_started","minutes_played","field_goals","field_goal_attempts","field_goal_pct","3_points","3_point_attempts","3_point_pct","2_points","2_point_attempts","2_point_pct","eff_field_goal_pct","free_throws","free_throw_attempts","free_throw_pct","offensive_rebounds","defensive_rebounds","total_rebounds","assists","steals","blocks","turnovers","personal_fouls","points","team_name"
"57","Amir Johnson",2,1.2e+07,90,"PF",81,240,1987-05-01,"us","10","",6,28,79,76,1800,249,426,0.585,10,43,0.233,239,383,0.624,0.596,69,121,0.57,178,327,505,138,52,83,94,214,577,"BOS"
"58","Avery Bradley",3,7730337,0,"SG",74,180,1990-11-26,"us","5","University of Texas at Austin",2,25,76,72,2536,456,1019,0.447,147,407,0.361,309,612,0.505,0.52,96,123,0.78,48,172,220,158,117,19,109,164,1155,"BOS"
"59","Coty Clarke",18,61776,63,"SF",79,232,1992-07-04,"us","R","University of Arkansas",16,23,3,0,6,2,4,0.5,2,2,1,0,2,0,0.75,0,0,NA,0,1,1,0,0,0,1,0,6,"BOS"
"60","Evan Turner",8,3425510,11,"SG",79,220,1988-10-27,"us","5","Ohio State University",4,27,81,12,2271,343,753,0.456,20,83,0.241,323,670,0.482,0.469,148,179,0.827,50,347,397,359,80,28,169,139,854,"BOS"
"61","Isaiah Thomas",4,6912869,4,"PG",69,185,1989-02-07,"us","4","University of Washington",1,26,82,79,2644,591,1382,0.428,167,465,0.359,424,917,0.462,0.488,474,544,0.871,46,197,243,509,91,9,220,167,1823,"BOS"
"62","Jae Crowder",5,6e+06,99,"SF",78,235,1990-07-06,"us","3","Marquette University",3,25,73,73,2308,360,813,0.443,122,363,0.336,238,450,0.529,0.518,196,239,0.82,70,303,373,135,126,35,83,198,1038,"BOS"
"63","James Young",15,1749840,13,"SG",78,215,1995-08-16,"us","1","University of Kentucky",14,20,29,0,199,11,36,0.306,6,26,0.231,5,10,0.5,0.389,1,4,0.25,4,22,26,9,6,1,5,17,29,"BOS"
"64","Jared Sullinger",10,2269260,7,"PF",81,260,1992-03-04,"us","3","Ohio State University",5,23,81,73,1915,351,806,0.435,29,103,0.282,322,703,0.458,0.453,103,161,0.64,194,479,673,187,75,47,102,209,834,"BOS"
"65","Jonas Jerebko",6,5e+06,8,"PF",82,231,1987-03-02,"se","5","",9,28,78,0,1176,118,286,0.413,43,108,0.398,75,178,0.421,0.488,61,78,0.782,77,211,288,62,20,24,52,137,340,"BOS"
"66","Jordan Mickey",16,1200000,55,"PF",80,235,1994-07-09,"us","R","Louisiana State University",15,21,16,0,57,8,22,0.364,0,0,NA,8,22,0.364,0.364,5,10,0.5,6,7,13,1,0,11,1,5,21,"BOS"
"67","Kelly Olynyk",11,2165160,41,"C",84,238,1991-04-19,"ca","2","Gonzaga University",8,24,69,8,1395,253,556,0.455,85,210,0.405,168,346,0.486,0.531,96,128,0.75,72,209,281,105,52,33,74,163,687,"BOS"
"68","Marcus Smart",7,3431040,36,"PG",76,220,1994-03-06,"us","1","Oklahoma State University",7,21,61,10,1667,184,529,0.348,61,241,0.253,123,288,0.427,0.405,129,166,0.777,76,179,255,185,91,18,80,183,558,"BOS"
"69","R.J. Hunter",17,1148640,28,"SG",77,185,1993-10-24,"us","R","Georgia State University",12,22,36,0,315,36,98,0.367,19,63,0.302,17,35,0.486,0.464,6,7,0.857,2,35,37,13,14,4,11,29,97,"BOS"
"70","Terry Rozier",14,1824360,12,"PG",74,190,1994-03-17,"us","R","University of Louisville",13,21,39,0,311,29,106,0.274,6,27,0.222,23,79,0.291,0.302,8,10,0.8,24,39,63,37,6,1,19,23,72,"BOS"
"71","Tyler Zeller",9,2616975,44,"C",84,253,1990-01-17,"us","3","University of North Carolina",10,26,60,3,710,138,290,0.476,0,0,NA,138,290,0.476,0.476,88,108,0.815,62,116,178,29,10,22,46,97,364,"BOS"
"72","Aaron Harrison",14,525093,9,"SG",78,210,1994-10-28,"us","R","University of Kentucky",16,21,21,0,93,5,19,0.263,3,10,0.3,2,9,0.222,0.342,5,12,0.417,4,11,15,2,6,0,4,10,18,"CHO"
"73","Al Jefferson",1,13833333,25,"C",82,289,1985-01-04,"us","11","",8,31,47,18,1096,245,505,0.485,0,0,NA,245,505,0.485,0.485,72,111,0.649,57,244,301,70,30,41,34,117,562,"CHO"
"74","Cody Zeller",8,4204200,40,"C",84,240,1992-10-05,"us","2","Indiana University",5,23,73,60,1774,231,437,0.529,1,10,0.1,230,427,0.539,0.53,175,232,0.754,138,317,455,71,57,63,68,204,638,"CHO"
"75","Courtney Lee",6,5675000,1,"SG",77,200,1985-10-03,"us","7","Western Kentucky University",11,30,28,28,845,98,220,0.445,31,79,0.392,67,141,0.475,0.516,23,26,0.885,10,77,87,60,33,12,23,55,250,"CHO"
"76","Frank Kaminsky",10,2612500,44,"C",84,242,1993-04-04,"us","R","University of Wisconsin",6,22,81,3,1708,215,525,0.41,68,202,0.337,147,323,0.455,0.474,108,148,0.73,69,266,335,98,38,43,58,126,606,"CHO"
"77","Jeremy Lamb",9,3034356,3,"SG",77,185,1992-05-30,"us","3","University of Connecticut",7,23,66,0,1227,230,510,0.451,56,181,0.309,174,329,0.529,0.506,64,88,0.727,44,208,252,77,42,30,50,105,580,"CHO"
"78","Jeremy Lin",11,2100000,7,"SG",75,200,1988-08-23,"us","5","Harvard University",4,27,78,13,2048,300,728,0.412,76,226,0.336,224,502,0.446,0.464,238,292,0.815,42,211,253,235,58,42,150,165,914,"CHO"
"79","Jorge Gutierrez",15,301444,12,"PG",75,191,1988-12-27,"mx","2","University of California",17,27,12,0,63,6,11,0.545,0,2,0,6,9,0.667,0.545,10,11,0.909,0,7,7,17,3,0,6,3,22,"CHO"
"80","Kemba Walker",3,1.2e+07,15,"PG",73,172,1990-05-08,"us","4","University of Connecticut",1,25,81,81,2885,568,1331,0.427,182,490,0.371,386,841,0.459,0.495,371,438,0.847,56,301,357,421,126,39,171,111,1689,"CHO"
"81","Marvin Williams",4,7e+06,2,"PF",81,237,1986-06-19,"us","10","University of North Carolina",3,29,81,81,2338,338,747,0.452,152,378,0.402,186,369,0.504,0.554,120,144,0.833,127,394,521,110,58,77,62,133,948,"CHO"
"82","Michael Kidd-Gilchrist",5,6331404,14,"SF",79,232,1993-09-26,"us","3","University of Kentucky",15,22,7,7,205,33,61,0.541,3,7,0.429,30,54,0.556,0.566,20,29,0.69,12,33,45,9,3,3,8,9,89,"CHO"
"83","Nicolas Batum",2,12235750,5,"SF",80,200,1988-12-14,"fr","7","",2,27,70,70,2448,372,873,0.426,139,399,0.348,233,474,0.492,0.506,163,192,0.849,55,373,428,403,65,43,205,114,1046,"CHO"
"84","Spencer Hawes",7,5543725,0,"PF",85,245,1988-04-28,"us","8","University of Washington",9,27,57,6,1035,124,306,0.405,38,102,0.373,86,204,0.422,0.467,54,65,0.831,51,193,244,109,22,27,58,111,340,"CHO"
"85","Troy Daniels",13,947276,30,"SG",76,205,1991-07-15,"us","2","Virginia Commonwealth University",12,24,43,0,476,89,187,0.476,59,122,0.484,30,65,0.462,0.634,5,9,0.556,7,50,57,21,11,3,24,40,242,"CHO"
"86","Tyler Hansbrough",12,1185784,50,"PF",81,250,1985-11-03,"us","6","University of North Carolina",13,30,44,0,343,32,71,0.451,2,3,0.667,30,68,0.441,0.465,38,65,0.585,40,49,89,8,12,7,12,55,104,"CHO"
"87","C.J. Miles",6,4394225,0,"SF",78,225,1987-04-18,"us","10","",7,28,64,24,1464,259,634,0.409,142,387,0.367,117,247,0.474,0.521,93,124,0.75,25,150,175,63,53,29,70,142,753,"IND"
"88","George Hill",3,8e+06,3,"PG",75,188,1986-05-04,"us","7","Indiana University-Purdue University Indianapolis",3,29,74,73,2524,326,739,0.441,128,314,0.408,198,425,0.466,0.528,114,150,0.76,58,240,298,259,83,17,101,149,894,"IND"
"89","Glenn Robinson",15,845000,40,"SF",78,222,1994-01-08,"us","1","University of Michigan",12,22,45,4,508,65,151,0.43,14,37,0.378,51,114,0.447,0.477,27,39,0.692,12,56,68,26,17,9,18,21,171,"IND"
"90","Ian Mahinmi",8,4e+06,28,"C",83,250,1986-11-05,"fr","7","",4,29,71,71,1816,264,448,0.589,0,0,NA,264,448,0.589,0.589,132,225,0.587,138,369,507,104,65,75,100,220,660,"IND"
"91","Jordan Hill",7,4e+06,27,"C",82,235,1987-07-27,"us","6","University of Arizona",6,28,73,11,1513,278,549,0.506,0,1,0,278,548,0.507,0.506,89,125,0.712,156,295,451,87,36,37,92,155,645,"IND"
"92","Lavoy Allen",9,3700000,5,"PF",81,260,1989-02-04,"us","4","Temple University",5,26,79,28,1599,191,370,0.516,0,0,NA,191,370,0.516,0.516,46,73,0.63,162,262,424,76,26,42,69,147,428,"IND"
"93","Monta Ellis",2,10300000,11,"SG",75,185,1985-10-26,"us","10","",2,30,81,81,2734,436,1021,0.427,87,282,0.309,349,739,0.472,0.47,162,206,0.786,42,229,271,383,150,37,203,174,1121,"IND"
"94","Myles Turner",10,2357760,33,"C",83,243,1996-03-24,"us","R","University of Texas at Austin",8,19,60,30,1367,264,530,0.498,3,14,0.214,261,516,0.506,0.501,88,121,0.727,68,264,332,41,25,86,67,158,619,"IND"
"95","Paul George",1,17120106,13,"SF",81,220,1990-05-02,"us","5","California State University, Fresno",1,25,81,81,2819,605,1449,0.418,210,566,0.371,395,883,0.447,0.49,454,528,0.86,79,484,563,329,152,29,265,230,1874,"IND"
"96","Rakeem Christmas",12,1e+06,25,"PF",81,250,1991-12-01,"us","R","Syracuse University",16,24,1,0,6,2,2,1,0,0,NA,2,2,1,1,0,0,NA,1,0,1,0,0,0,0,1,4,"IND"
"97","Rodney Stuckey",4,6500000,2,"PG",77,210,1986-04-21,"us","8","Eastern Washington University",9,29,58,1,1275,183,443,0.413,20,83,0.241,163,360,0.453,0.436,131,158,0.829,19,137,156,142,43,8,76,77,517,"IND"
"98","Shayne Whittington",14,845059,42,"PF",83,250,1991-03-27,"us","1","Western Michigan University",15,24,7,0,41,5,11,0.455,0,2,0,5,9,0.556,0.455,1,2,0.5,5,7,12,3,1,1,5,7,11,"IND"
"99","Solomon Hill",11,1358880,44,"SF",79,225,1991-03-18,"us","2","University of Arizona",10,24,59,3,866,93,208,0.447,24,74,0.324,69,134,0.515,0.505,36,42,0.857,39,127,166,57,37,11,33,68,246,"IND"
"100","Andre Drummond",7,3272091,0,"C",83,279,1993-08-10,"us","3","University of Connecticut",3,22,81,81,2666,552,1060,0.521,2,6,0.333,550,1054,0.522,0.522,208,586,0.355,395,803,1198,67,119,112,155,245,1314,"DET"
"101","Anthony Tolliver",8,3e+06,43,"PF",80,240,1985-06-01,"us","7","Creighton University",7,30,72,5,1341,128,332,0.386,98,272,0.36,30,60,0.5,0.533,29,47,0.617,39,190,229,52,26,16,28,86,383,"DET"
"102","Aron Baynes",3,6500000,12,"C",82,260,1986-12-09,"nz","3","Washington State University",8,29,81,1,1233,194,384,0.505,0,2,0,194,382,0.508,0.505,126,165,0.764,140,244,384,51,21,52,67,151,514,"DET"
"103","Darrun Hilliard",17,525093,6,"SG",78,205,1993-04-13,"us","R","Villanova University",13,22,38,2,383,52,131,0.397,19,50,0.38,33,81,0.407,0.469,29,40,0.725,5,40,45,27,9,1,19,28,152,"DET"
"104","Jodie Meeks",4,6270000,20,"SG",76,210,1987-08-21,"us","6","University of Kentucky",16,28,3,0,43,7,20,0.35,4,9,0.444,3,11,0.273,0.45,4,4,1,1,4,5,3,0,0,1,2,22,"DET"
"105","Joel Anthony",11,2500000,50,"C",81,245,1982-08-09,"ca","8","University of Nevada, Las Vegas",15,33,19,0,96,6,10,0.6,0,0,NA,6,10,0.6,0.6,6,8,0.75,8,13,21,1,2,12,2,15,18,"DET"
"106","Justin Harper",20,99418,32,"PF",82,225,1989-08-30,"us","1","University of Richmond",17,26,5,0,35,4,10,0.4,4,9,0.444,0,1,0,0.6,1,2,0.5,0,1,1,0,1,0,2,3,13,"DET"
"107","Kentavious Caldwell-Pope",9,2891760,5,"SG",77,205,1993-02-18,"us","2","University of Georgia",2,22,76,76,2789,403,960,0.42,114,369,0.309,289,591,0.489,0.479,185,228,0.811,70,212,282,138,110,17,105,167,1105,"DET"
"108","Marcus Morris",6,5e+06,13,"SF",81,235,1989-09-02,"us","4","University of Kansas",1,26,80,80,2856,410,945,0.434,108,298,0.362,302,647,0.467,0.491,203,271,0.749,91,313,404,201,67,23,140,170,1131,"DET"
"109","Reggie Bullock",15,1252440,25,"SF",79,205,1991-03-16,"us","2","University of North Carolina",11,24,37,0,429,43,98,0.439,22,53,0.415,21,45,0.467,0.551,14,15,0.933,14,54,68,27,10,2,8,29,122,"DET"
"110","Reggie Jackson",2,1.4e+07,1,"PG",75,208,1990-04-16,"it","4","Boston College",4,25,79,79,2424,540,1244,0.434,118,334,0.353,422,910,0.464,0.482,291,337,0.864,58,195,253,492,59,11,223,187,1489,"DET"
"111","Spencer Dinwiddie",16,845059,8,"PG",78,200,1993-04-06,"us","1","University of Colorado",14,22,12,0,159,19,54,0.352,1,10,0.1,18,44,0.409,0.361,19,33,0.576,4,13,17,22,3,0,7,20,58,"DET"
"112","Stanley Johnson",10,2841960,3,"SF",79,245,1996-05-29,"us","R","University of Arizona",5,19,73,6,1687,225,600,0.375,63,205,0.307,162,395,0.41,0.428,80,102,0.784,58,248,306,118,55,12,114,178,593,"DET"
"113","Steve Blake",13,2170465,22,"PG",75,172,1980-02-26,"us","12","University of Maryland",9,35,58,2,986,93,240,0.388,52,151,0.344,41,89,0.461,0.496,16,20,0.8,9,80,89,200,24,5,81,70,254,"DET"
"114","Tobias Harris",1,1.6e+07,34,"PF",81,235,1992-07-15,"us","4","University of Tennessee",10,23,27,25,903,166,348,0.477,33,88,0.375,133,260,0.512,0.524,82,90,0.911,25,143,168,70,18,12,30,62,447,"DET"
"115","Aaron Brooks",9,2e+06,0,"PG",72,161,1985-01-14,"us","7","University of Oregon",9,31,69,0,1108,188,469,0.401,66,185,0.357,122,284,0.43,0.471,49,64,0.766,21,80,101,180,30,10,82,132,491,"CHI"
"116","Bobby Portis",11,1391160,5,"PF",83,230,1995-02-10,"us","R","University of Arkansas",10,20,62,4,1102,186,436,0.427,16,52,0.308,170,384,0.443,0.445,48,66,0.727,123,214,337,52,25,22,54,100,436,"CHI"
